                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3577,                0.51733,                0.79543,                 3.0284,              0.0033327,              0.0033327,              0.0033327
                      1,                0.45479,                0.89219,                0.97943,                 2.7352,              0.0065011,              0.0065011,              0.0065011
                      2,                0.19325,                0.95352,                0.99581,                 2.6599,              0.0095044,              0.0095044,              0.0095044
                      3,                0.13306,                0.97562,                0.99886,                 2.6361,              0.0092575,              0.0092575,              0.0092575
                      4,                0.09512,                0.97867,                0.99848,                 2.6284,              0.0092575,              0.0092575,              0.0092575
                      5,                0.07599,                0.98286,                0.99771,                 2.6227,                0.00901,                0.00901,                0.00901
                      6,                0.06299,                0.98705,                0.99848,                 2.6202,              0.0087625,              0.0087625,              0.0087625
                      7,                0.05527,                0.98971,                0.99848,                 2.6183,               0.008515,               0.008515,               0.008515
                      8,                0.04938,                0.98743,                0.99848,                 2.6171,              0.0082675,              0.0082675,              0.0082675
                      9,                0.04556,                0.98895,                0.99848,                 2.6165,                0.00802,                0.00802,                0.00802
                     10,                0.04181,                0.98857,                0.99886,                  2.616,              0.0077725,              0.0077725,              0.0077725
                     11,                0.03949,                0.98971,                0.99886,                 2.6157,               0.007525,               0.007525,               0.007525
                     12,                 0.0352,                0.98895,                0.99886,                 2.6153,              0.0072775,              0.0072775,              0.0072775
                     13,                0.03392,                0.98971,                0.99886,                 2.6152,                0.00703,                0.00703,                0.00703
                     14,                0.03074,                0.98971,                0.99886,                 2.6151,              0.0067825,              0.0067825,              0.0067825
                     15,                0.02857,                 0.9901,                0.99886,                 2.6149,               0.006535,               0.006535,               0.006535
                     16,                0.02519,                0.98933,                0.99886,                  2.615,              0.0062875,              0.0062875,              0.0062875
                     17,                0.02367,                0.98933,                0.99886,                 2.6151,                0.00604,                0.00604,                0.00604
                     18,                0.02109,                0.98933,                0.99886,                 2.6152,              0.0057925,              0.0057925,              0.0057925
                     19,                0.01976,                0.98971,                0.99886,                 2.6152,               0.005545,               0.005545,               0.005545
                     20,                0.01832,                0.98971,                0.99886,                 2.6154,              0.0052975,              0.0052975,              0.0052975
                     21,                0.01504,                0.99048,                0.99886,                 2.6157,                0.00505,                0.00505,                0.00505
                     22,                 0.0137,                0.99124,                0.99886,                 2.6158,              0.0048025,              0.0048025,              0.0048025
                     23,                0.01124,                0.98971,                0.99886,                 2.6161,               0.004555,               0.004555,               0.004555
                     24,                0.00869,                0.98933,                0.99886,                 2.6164,              0.0043075,              0.0043075,              0.0043075
                     25,                0.00697,                0.98933,                0.99886,                 2.6167,                0.00406,                0.00406,                0.00406
                     26,                0.00628,                0.98971,                0.99886,                 2.6171,              0.0038125,              0.0038125,              0.0038125
                     27,                0.00484,                0.98971,                0.99886,                 2.6178,               0.003565,               0.003565,               0.003565
                     28,                0.00447,                0.98857,                0.99886,                 2.6184,              0.0033175,              0.0033175,              0.0033175
                     29,                0.00354,                0.98895,                0.99886,                 2.6192,                0.00307,                0.00307,                0.00307
                     30,                0.00315,                0.98857,                0.99886,                 2.6199,              0.0028225,              0.0028225,              0.0028225
                     31,                0.00284,                0.98781,                0.99886,                 2.6209,               0.002575,               0.002575,               0.002575
                     32,                0.00263,                0.98514,                0.99886,                 2.6216,              0.0023275,              0.0023275,              0.0023275
                     33,                0.00244,                  0.984,                0.99886,                 2.6224,                0.00208,                0.00208,                0.00208
                     34,                0.00238,                0.98248,                0.99848,                  2.623,              0.0018325,              0.0018325,              0.0018325
                     35,                0.00231,                0.98248,                0.99848,                 2.6234,               0.001585,               0.001585,               0.001585
                     36,                 0.0022,                 0.9821,                0.99848,                 2.6235,              0.0013375,              0.0013375,              0.0013375
                     37,                0.00212,                0.98171,                0.99848,                 2.6236,                0.00109,                0.00109,                0.00109
                     38,                0.00206,                0.98248,                0.99848,                 2.6233,              0.0008425,              0.0008425,              0.0008425
                     39,                0.00198,                0.98324,                0.99848,                 2.6229,               0.000595,               0.000595,               0.000595
